psqft,frequency
50,46
60,119
70,289
80,619
90,1199
100,1904
110,2731
120,3603
130,4654
140,5696
150,7496
160,11013
170,14564
180,19083
190,22528
200,24417
210,24237
220,22095
230,19735
240,19383
250,17909
260,17518
270,16788
280,15676
290,14642
300,13265
310,11712
320,10407
330,8915
340,8367
350,7488
360,7093
370,6175
380,5795
390,5187
400,4769
410,4313
420,3895
430,3464
440,2955
450,2722
460,2452
470,2218
480,1956
490,1775
500,1533
510,1345
520,1285
530,1126
540,1017
550,922
560,788
570,709
580,634
590,601
600,478
610,426
620,365
630,377
640,299
650,298
660,308
670,290
680,260
690,235
700,256
710,179
720,161
730,124
740,121
750,108
760,73
770,91
780,67
790,62
800,61