psqft,frequency
10,75
20,108
30,256
40,495
50,864
60,1086
70,1302
80,1496
90,1921
100,2625
110,3420
120,4196
130,5236
140,6302
150,8098
160,11525
170,14996
180,19506
190,22933
200,24779
210,24558
220,22414
230,20025
240,19646
250,18153
260,17731
270,17002
280,15857
290,14794
300,13402
310,11869
320,10557
330,9088
340,8483
350,7639
360,7192
370,6266
380,5855
390,5261
400,4831
410,4381
420,3951
430,3514
440,2997
450,2753
460,2474
470,2245
480,2002
490,1807
500,1558
510,1372
520,1311
530,1147
540,1039
550,939
560,811
570,725
580,645
590,611
600,492
610,438
620,379
630,381
640,304
650,302
660,315
670,297
680,266
690,243
700,260
710,184
720,165
730,131
740,125
750,113
760,77
770,95
780,69
790,64
800,68
810,46
820,42
830,50
840,34
850,29
860,23
870,33
880,32
890,29
900,22
910,19
920,20
930,17
940,18
950,25
960,15
970,22
980,18
990,10
1000,14
1010,10
1020,12
1030,13
1040,7
1050,10
1060,11
1070,8
1080,10
1090,8
1100,7
1110,8
1120,6
1130,8
1140,10
1150,4
1160,7
1170,6
1180,7
1190,1
1200,10
1210,5
1220,2
1230,4
1240,4
1250,4
1260,8
1270,14
1280,10
1290,7
1300,3
1310,5
1320,4
1330,7
1340,9
1350,59
1360,11
1370,8
1380,9
1390,14
1400,16
1410,8
1420,13
1430,9
1440,5
1450,9
1460,9
1470,3
1480,16
1490,5
1500,5
1510,2
1520,1
1530,8
1540,6
1550,3
1560,2
1570,2
1580,1
1610,27
1620,4
1630,1
1640,2
1660,3
1670,2
1680,2
1690,1
1710,2
1740,1
1750,1
1760,2
1820,1
1830,1
1840,1
1860,1
1890,1
1930,1
1960,1
1970,1
2000,1
2030,1
2040,1
2090,1
2100,1
2110,1
2180,1
2210,1
2220,1
2260,1
2270,1
2290,1
2330,1
2360,2
2370,2
2400,1
2440,1
2460,1
2480,2
2650,4
2690,1
2770,1
2780,1
2800,2
2830,1
2840,1
2850,1
3060,3
3170,1
3200,1
3240,1
3290,1
3360,1
3480,1
3620,1
4310,1
4370,1
4420,1
4530,1
4760,1
4830,1
5180,1
5250,1
5510,1
5660,1
6000,1
6040,1
6120,1
6230,2
6730,1
6810,1
8140,1
8180,1
8290,1
8550,3
9180,1
9570,4
11120,1
12190,1
12720,1
12850,1
13260,1
13470,1
13560,3
14190,1
14590,3
15630,1
15680,1
17150,1
17280,2
18450,1
18790,1
19610,1
19960,1
24780,1
45870,1
49790,1
50600,1
78970,1
650040,1